strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	division_exposure	location	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	Publication doi if not on GenBank	date_submitted	note
USA/WA-UW378/2020	ncov	EPI_ISL_418944	MT263457	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW379/2020	ncov	EPI_ISL_418945	MT263458	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW380/2020	ncov	?	MT263459	2020-03-24	North America	USA	Washington	Washington		genome	29917	Human	?	?	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA	Roychoudhury,P., Greninger,A., Jerome,K.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-03-31	
USA/WA-UW381/2020	ncov	EPI_ISL_418946	MT263460	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW382/2020	ncov	EPI_ISL_418947	MT263461	2020-03-22	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW383/2020	ncov	EPI_ISL_418948	MT263462	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW384/2020	ncov	EPI_ISL_418949	MT263463	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW385/2020	ncov	EPI_ISL_418950	MT263464	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW386/2020	ncov	EPI_ISL_418951	MT263465	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW387/2020	ncov	EPI_ISL_418952	MT263466	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW388/2020	ncov	EPI_ISL_418953	MT263467	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW389/2020	ncov	EPI_ISL_418954	MT263468	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW390/2020	ncov	EPI_ISL_418955	MT263469	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/CT-Yale-002/2020	ncov	EPI_ISL_416417	?	2020-03-10	North America	USA	Connecticut	Connecticut		genome	29903	Human	?	?	Connecticut State Department of Public Health	Grubaugh Lab - Yale School of Public Health	Fauver et al	https://www.gisaid.org	10.1101/2020.03.25.20043828	2020-03-20	
USA/CT-Yale-003/2020	ncov	EPI_ISL_416418	?	2020-03-08	North America	USA	Connecticut	Connecticut		genome	29903	Human	?	?	Connecticut State Department of Public Health	Grubaugh Lab - Yale School of Public Health	Fauver et al	https://www.gisaid.org	10.1101/2020.03.25.20043829	2020-03-20	
USA/CT-Yale-005/2020	ncov	EPI_ISL_416419	?	2020-03-09	North America	USA	Connecticut	Connecticut		genome	29903	Human	?	?	Connecticut State Department of Public Health	Grubaugh Lab - Yale School of Public Health	Fauver et al	https://www.gisaid.org	10.1101/2020.03.25.20043830	2020-03-20	
USA/CT-Yale-006/2020	ncov	EPI_ISL_416420	?	2020-03-13	North America	USA	Connecticut	Connecticut		genome	29903	Human	?	?	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Fauver et al	https://www.gisaid.org	10.1101/2020.03.25.20043831	2020-03-20	
USA/CT-Yale-007/2020	ncov	EPI_ISL_416421	?	2020-03-13	North America	USA	Connecticut	Connecticut		genome	29903	Human	?	?	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Fauver et al	https://www.gisaid.org	10.1101/2020.03.25.20043832	2020-03-20	
USA/CT-Yale-008/2020	ncov	EPI_ISL_416422	?	2020-03-13	North America	USA	Connecticut	Connecticut		genome	29903	Human	?	?	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Fauver et al	https://www.gisaid.org	10.1101/2020.03.25.20043833	2020-03-20	
USA/CT-Yale-009/2020	ncov	EPI_ISL_416423	?	2020-03-13	North America	USA	Connecticut	Connecticut		genome	29903	Human	?	?	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Fauver et al	https://www.gisaid.org	10.1101/2020.03.25.20043834	2020-03-20	
USA/CT-Yale-010/2020	ncov	EPI_ISL_416424	?	2020-03-14	North America	USA	Connecticut	Connecticut		genome	29903	Human	?	?	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Fauver et al	https://www.gisaid.org	10.1101/2020.03.25.20043835	2020-03-20	
USA/CT-Yale-001/2020	ncov	EPI_ISL_416416	?	2020-03-06	North America	USA	Connecticut	Connecticut		genome	29903	Human	?	?	Connecticut State Department of Public Health	Grubaugh Lab - Yale School of Public Health	Fauver et al	https://www.gisaid.org	10.1101/2020.03.25.20043836	2020-03-20	
USA/CA-CDPH-UC1/2020	ncov	EPI_ISL_413557	?	2020-02-26	North America	USA	Grand Princess	Grand Princess	Sonoma County	genome	29903	Human	?	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	10.1101/2020.03.27.20044925	2020-03-07	
USA/CA-CDPH-UC2/2020	ncov	EPI_ISL_413558	?	2020-02-27	North America	USA	California	California	Solano County	genome	29903	Human	?	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	10.1101/2020.03.27.20044926	2020-03-07	
USA/CA-CDPH-UC3/2020	ncov	EPI_ISL_413559	?	2020-02-27	North America	USA	California	California	Solano County	genome	29903	Human	?	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	10.1101/2020.03.27.20044927	2020-03-07	
USA/CA-CDPH-UC4/2020	ncov	EPI_ISL_413561	?	2020-02-27	North America	USA	California	California	Solano County	genome	29903	Human	?	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	10.1101/2020.03.27.20044928	2020-03-07	
USA/CA-CDPH-UC5/2020	ncov	EPI_ISL_413922	?	2020-03-05	North America	USA	Grand Princess	Grand Princess	Grand Princess cruise ship	genome	29903	Human	?	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	10.1101/2020.03.27.20044929	2020-03-10	
USA/CA-CDPH-UC6/2020	ncov	EPI_ISL_413924	?	2020-03-05	North America	USA	Grand Princess	Grand Princess	Grand Princess cruise ship	genome	29903	Human	?	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	10.1101/2020.03.27.20044930	2020-03-10	
USA/CA-CDPH-UC7/2020	ncov	EPI_ISL_413925	?	2020-03-05	North America	USA	Grand Princess	Grand Princess	Grand Princess cruise ship	genome	29903	Human	?	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	10.1101/2020.03.27.20044931	2020-03-10	
USA/CA-CDPH-UC8/2020	ncov	EPI_ISL_413926	?	2020-03-05	North America	USA	Grand Princess	Grand Princess	Grand Princess cruise ship	genome	29903	Human	?	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	10.1101/2020.03.27.20044932	2020-03-10	
USA/CA-CDPH-UC9/2020	ncov	EPI_ISL_413928	?	2020-03-05	North America	USA	Grand Princess	Grand Princess	Grand Princess cruise ship	genome	29903	Human	?	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	10.1101/2020.03.27.20044933	2020-03-10	
USA/UC-CDPH-UC11/2020	ncov	EPI_ISL_413931	?	2020-03-05	North America	USA	Grand Princess	Grand Princess	San Francisco	genome	29903	Human	?	?	California Department of Public Health	Chiu Laboratory UCSF-Abbott Viral Diagnostics and Discovery Center University of California, San Francisco	Deng et al	https://www.gisaid.org	10.1101/2020.03.27.20044934	2020-03-10	
Vietnam/19-01S/2020	ncov	EPI_ISL_418269	MT192772	2020-01-22	Asia	Vietnam	Ho Chi Minh City	Ho Chi Minh City		genome	29891	Human	?	?	unknown	Microbiology and Immunology department	Cao et al	https://www.gisaid.org	?	2020-03-30	
Vietnam/19-02S/2020	ncov	EPI_ISL_418267	MT192773	2020-01-22	Asia	Vietnam	Ho Chi Minh City	Ho Chi Minh City		genome	29890	Human	?	?	unknown	Microbiology and Immunology department	Nguyen et al	https://www.gisaid.org	?	2020-03-30	
